"	Category","	Event","	Event Display Name","	Event Description","	Event Volume","	Event Query Volume","	Event Schema Status","	Event First Seen","	Event Last Seen","	Event Number of Properties","	Event Property","	Property Description","	Property Type","	Property Schema Status","	Property Is Required","	Property Is Array","	Property Enum Options","	Property Regex","	Property First Seen","	Property Last Seen"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Terms Of Use Page","	","	","	0","	0","	added","	2020-04-09","	2020-04-19","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Test Page","	","	","	0","	0","	added","	2020-06-30","	2020-06-30","	3","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed The Airbnb IPO: Here's how the pandemic impacted employees and their equity - Secfi Page","	","	","	0","	0","	added","	2020-12-11","	2021-01-04","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed The DoorDash IPO: here's how the average DoorDash employee missed out on $924,000 - Secfi Page","	","	","	0","	0","	added","	2020-12-10","	2021-01-13","	6","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	search","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed The State of Stock Options 2020 - Secfi Page","	","	","	0","	0","	added","	2020-12-18","	2021-01-11","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed The surprise factor: why exercising stock options may be 3-10x more expensive than you think - Secfi Page","	","	","	0","	1","	added","	2020-11-06","	2021-01-13","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Upload Page","	","	","	0","	0","	added","	2020-05-12","	2020-05-12","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Uploads Page","	","	","	0","	0","	added","	2020-05-23","	2020-05-23","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed User - Equity Page","	","	","	0","	0","	added","	2020-04-15","	2020-04-15","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed User Viewed-Page Page","	","	","	0","	332","	added","	2020-07-08","	2021-01-13","	8","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	issuer","	","	any","	added","	false","	false","	","	","	2020-04-01","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	pageName","	","	any","	added","	false","	false","	","	","	2020-07-08","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	search","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Users - Jeansevilla - Downloads - Www.secfi.com - Index%202.html Page","	","	","	0","	0","	added","	2020-04-15","	2020-04-15","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Users - Jeansevilla - Downloads - Www.secfi.com - Index%20copia.html Page","	","	","	0","	0","	added","	2020-04-14","	2020-04-14","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Users - Jeansevilla - Downloads - Www.secfi.com - Index.html Page","	","	","	0","	0","	added","	2020-04-14","	2020-04-15","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Users - Xuhua - Desktop - Advisor.html Page","	","	","	0","	0","	added","	2020-04-08","	2020-04-08","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Users - Xuhua - Desktop - Secfi%20 %20your%20equity%20advisor.html Page","	","	","	0","	0","	added","	2020-04-08","	2020-04-08","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Users - Xuhua - Desktop - Secfi%20.html Page","	","	","	0","	0","	added","	2020-04-08","	2020-04-08","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Users - Xuhua - Desktop - Secfi.html Page","	","	","	0","	0","	added","	2020-04-08","	2020-04-08","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Vos Enjeux - Info Secafi Covid 19.htmt Page","	","	","	0","	0","	added","	2020-04-03","	2020-04-03","	4","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed Website - Www.secfi.com - Index.html Page","	","	","	0","	0","	added","	2020-05-03","	2020-05-03","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed What Is - 409a Valuation Page","	","	","	0","	0","	added","	2020-04-29","	2020-04-29","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed What Is - 83b Election Page","	","	","	0","	0","	added","	2020-04-29","	2020-04-29","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	title","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	url","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	Viewed What Is - Alternative Minimum Tax Page","	","	","	0","	0","	added","	2020-04-29","	2020-04-29","	5","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	name","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	path","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	referrer","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
